country,year,PIB,population,IDH,unemployment,gdp_pc,log_gdp_pc,gdp_growth,unemployment.1,poverty
Argentina,2001,268696750000.0,37624762.0,0.7945,17.32,7141.487034522637,8.873676301789256,-5.456296758927359,,
Argentina,2002,97724004251.8602,38029300.0,0.8,19.59,2569.702946198331,7.851545586071952,-63.630373552393095,,
Argentina,2003,127586973492.177,38424224.0,0.8055,15.36,3320.4827634821463,8.107865462026819,30.55847892126089,,
Argentina,2004,164657930452.787,38815865.0,0.811,13.522,4242.02656446757,8.352796397355744,29.055440336848328,,
Argentina,2005,198737095012.282,39216734.0,0.8165,11.506,5067.660530126808,8.530634556191808,20.696946977155584,,
Argentina,2006,232557260817.308,39622060.0,0.822,10.078,5869.388437080455,8.677505722910823,17.017540586942715,,
Argentina,2007,287530508430.568,40016709.0,0.8275,8.47,7185.261247509584,8.879787157978706,23.63858579175724,,
Argentina,2008,361558037110.419,40424101.0,0.833,7.837,8944.120664808823,9.098751686449765,25.74597356082893,,
Argentina,2009,332976484577.619,40854783.0,0.8385,8.645,8150.244845936864,9.005803248229885,-7.905107783310383,,
Argentina,2010,423627422092.49,41288642.0,0.844,7.714,10260.14423270424,9.236022176394396,27.22442626237158,,
Argentina,2011,530158122010.442,41730610.0,0.847,7.18,12704.29840374828,9.44969567217109,25.147262514722968,,
Argentina,2012,545982375701.128,42161676.0,0.85,7.217,12949.731308146478,9.468830318506756,2.9848177428043465,,
Argentina,2013,552025140252.246,42582408.0,0.853,7.1,12963.69008188184,9.469907657919054,1.1067691596011953,,
Argentina,2014,526319673731.638,43024021.0,0.856,7.268,12233.158628563286,9.411905464228704,-4.656575334388203,,
Argentina,2015,594749285413.212,43476961.0,0.859,7.579,13679.642544777038,9.523664061067391,13.0015302670341,,
Argentina,2016,557532320662.955,43900264.0,0.8573999999999999,8.085,12699.976489046969,9.449355421188825,-6.257588813141657,,
Argentina,2017,643628393281.364,44288844.0,0.8558,8.347,14532.51733735394,9.584143992580398,15.442346466305889,,
Argentina,2018,524819892360.176,44654822.0,0.8542,9.22,11752.815683828636,9.371848123531253,-18.459176469123,,
Argentina,2019,447754683615.225,44973412.0,0.8526,9.843,9955.98651966244,9.205929309495248,-14.684124947775867,,
Argentina,2020,385740508436.965,45191917.0,0.851,11.461,8535.608446018456,9.05200192103193,-13.850033834945076,,
Argentina,2021,486564085480.036,45312226.0,0.847,8.736,10738.030956149363,9.281547013838235,26.13766893490441,,
Argentina,2022,632790070063.124,45407866.0,0.858,6.805,13935.692773210792,9.54220865329896,30.052769809104163,,
Argentina,2023,646075277525.125,45538356.0,0.865,6.139,14187.496745054324,9.560116344800248,2.099465224015873,,
Canadá,2001,738981792355.372,31213533.0,0.8964,7.219,23675.044806859,10.07217681063365,-0.777635647611119,,
Canadá,2002,760649334098.005,31535531.0,0.8988,7.665,24120.39087269547,10.09081285604545,2.9320805961364327,,
Canadá,2003,895540646634.787,31836434.0,0.9012,7.574,28129.42701543731,10.244571532113182,17.733705465835857,,
Canadá,2004,1026690238278.25,32132620.0,0.9036,7.185,31951.650325378072,10.371979111848155,14.644739145709318,,
Canadá,2005,1173108598778.68,32440126.0,0.906,6.758,36162.27010889785,10.495771592095789,14.261201192092,,
Canadá,2006,1319264809590.97,32759122.0,0.9084,6.484,40271.67790366818,10.603403719321363,12.458881553204272,,
Canadá,2007,1468820407783.26,33092121.0,0.9108,6.156,44385.80433642377,10.700674975145674,11.336283444008387,,
Canadá,2008,1552989690721.65,33449040.0,0.9132,6.284,46428.52801520313,10.74566937719896,5.730399883633019,,
Canadá,2009,1374625142157.29,33826322.0,0.9156,8.46,40637.73596660287,10.612452371217335,-11.48523712874595,,
Canadá,2010,1617343367486.26,34196847.0,0.918,8.178,47295.10201587474,10.76416201765678,17.657048302496214,,
Canadá,2011,1793326630174.52,34555403.0,0.9208,7.637,51897.14124226883,10.8570189855997,10.881008091793154,,
Canadá,2012,1828366481521.6,34922466.0,0.9236,7.392,52355.02216600627,10.865803146100449,1.9539023598657,,
Canadá,2013,1846597421834.98,35293366.0,0.9264,7.143,52321.3745561979,10.865160257884558,0.9971163056001542,,
Canadá,2014,1805749878439.94,35634224.0,0.9292,7.023,50674.595255391,10.833179984221523,-2.2120437791172454,,
Canadá,2015,1556508816217.14,35962183.0,0.932,6.945,43281.822358146055,10.675488018875742,-13.802634860932647,,
Canadá,2016,1527994741907.43,36353292.0,0.9318,7.038,42031.8121920686,10.646182043702275,-1.8319250114502528,,
Canadá,2017,1649265644244.09,36808448.0,0.9316,6.426,44806.71513898359,10.710113298665638,7.936604689180737,,
Canadá,2018,1725329192783.02,37294942.0,0.9314,5.837,46261.74757914947,10.742070712398938,4.611964652534328,,
Canadá,2019,1743725183672.52,37782884.0,0.9312,5.69,46151.19332003666,10.739678097018947,1.066230778824684,,
Canadá,2020,1655684730000.19,38171851.0,0.931,9.657,43374.49420517202,10.67762685620531,-5.048986761027619,,
Canadá,2021,2022378748423.23,38454011.0,0.937,7.527,52592.14047718533,10.870321966975602,22.14757506539291,,
Canadá,2022,2190411080134.32,38821209.0,0.935,5.279,56423.051640002246,10.940633071005417,8.308648013736208,,
Canadá,2023,2173339670064.33,39299053.0,0.939,5.415,55302.59647896172,10.920575139011474,-0.7793701476776271,,
Chile,2001,71574739561.4329,15683809.0,0.7762,10.39,4563.6069376662845,8.425868584938932,-8.635477005782977,,
Chile,2002,70264045939.2773,15857882.0,0.7814,10.168,4430.85942620063,8.396348845623034,-1.8312237392503985,,
Chile,2003,76492579644.0605,16024700.0,0.7866,9.765,4773.417264851168,8.470817735110481,8.864467768004625,,
Chile,2004,99075985773.6682,16187270.0,0.7918,10.162,6120.611182346881,8.719417236916604,29.52365606532561,,
Chile,2005,122294145163.192,16348730.0,0.7969999999999999,9.34,7480.345272274482,8.920034229298196,23.434699345373144,,
Chile,2006,153843518170.864,16509144.0,0.8022,9.024,9318.685340128111,9.139776839803863,25.79794230179362,,
Chile,2007,172491076033.863,16671520.0,0.8074,8.427,10346.451675303932,9.244398906608774,12.121120268641006,,
Chile,2008,179894594475.405,16838934.0,0.8126,9.285,10683.253136772491,9.276432666954168,4.292116793386192,,
Chile,2009,171777900623.892,17009684.0,0.8178,11.313,10098.829621049515,9.22017481701084,-4.5119164781922905,,
Chile,2010,217051209238.534,17181416.0,0.823,8.278,12632.90576507396,9.444060257376425,26.355723553618216,,
Chile,2011,251382573893.87,17351762.0,0.8293999999999999,7.277,14487.43786906886,9.581037199049948,15.817172719644535,,
Chile,2012,267024782486.855,17519067.0,0.8358,6.562,15241.95223905788,9.631806920712288,6.22247133152074,,
Chile,2013,277395018842.417,17686958.0,0.8422,6.074,15683.591199934834,9.66037029828898,3.88362318245592,,
Chile,2014,259560978224.359,17864143.0,0.8486,6.483,14529.71901447268,9.583951418075392,-6.429113504806361,,
Chile,2015,242450355830.884,18047575.0,0.855,6.313,13433.957516779068,9.5055409234561,-6.59213973938908,,
